area_km2;duracion_h;arf;origen
1;0.5;0.98;US Weather Bureau TP-29 (1958), curvas area-duracion
1;1;0.99;US Weather Bureau TP-29 (1958), curvas area-duracion
1;3;0.99;US Weather Bureau TP-29 (1958), curvas area-duracion
1;6;0.99;US Weather Bureau TP-29 (1958), curvas area-duracion
1;12;1.00;US Weather Bureau TP-29 (1958), curvas area-duracion
1;24;1.00;US Weather Bureau TP-29 (1958), curvas area-duracion
5;0.5;0.95;US Weather Bureau TP-29 (1958), curvas area-duracion
5;1;0.96;US Weather Bureau TP-29 (1958), curvas area-duracion
5;3;0.98;US Weather Bureau TP-29 (1958), curvas area-duracion
5;6;0.98;US Weather Bureau TP-29 (1958), curvas area-duracion
5;12;0.99;US Weather Bureau TP-29 (1958), curvas area-duracion
5;24;0.99;US Weather Bureau TP-29 (1958), curvas area-duracion
10;0.5;0.93;US Weather Bureau TP-29 (1958), curvas area-duracion
10;1;0.95;US Weather Bureau TP-29 (1958), curvas area-duracion
10;3;0.97;US Weather Bureau TP-29 (1958), curvas area-duracion
10;6;0.98;US Weather Bureau TP-29 (1958), curvas area-duracion
10;12;0.98;US Weather Bureau TP-29 (1958), curvas area-duracion
10;24;0.99;US Weather Bureau TP-29 (1958), curvas area-duracion
25;0.5;0.87;US Weather Bureau TP-29 (1958), curvas area-duracion
25;1;0.90;US Weather Bureau TP-29 (1958), curvas area-duracion
25;3;0.93;US Weather Bureau TP-29 (1958), curvas area-duracion
25;6;0.95;US Weather Bureau TP-29 (1958), curvas area-duracion
25;12;0.96;US Weather Bureau TP-29 (1958), curvas area-duracion
25;24;0.97;US Weather Bureau TP-29 (1958), curvas area-duracion
50;0.5;0.83;US Weather Bureau TP-29 (1958), curvas area-duracion
50;1;0.87;US Weather Bureau TP-29 (1958), curvas area-duracion
50;3;0.91;US Weather Bureau TP-29 (1958), curvas area-duracion
50;6;0.93;US Weather Bureau TP-29 (1958), curvas area-duracion
50;12;0.95;US Weather Bureau TP-29 (1958), curvas area-duracion
50;24;0.96;US Weather Bureau TP-29 (1958), curvas area-duracion
100;0.5;0.78;US Weather Bureau TP-29 (1958), curvas area-duracion
100;1;0.83;US Weather Bureau TP-29 (1958), curvas area-duracion
100;3;0.89;US Weather Bureau TP-29 (1958), curvas area-duracion
100;6;0.91;US Weather Bureau TP-29 (1958), curvas area-duracion
100;12;0.93;US Weather Bureau TP-29 (1958), curvas area-duracion
100;24;0.95;US Weather Bureau TP-29 (1958), curvas area-duracion
200;0.5;0.72;US Weather Bureau TP-29 (1958), curvas area-duracion
200;1;0.79;US Weather Bureau TP-29 (1958), curvas area-duracion
200;3;0.86;US Weather Bureau TP-29 (1958), curvas area-duracion
200;6;0.89;US Weather Bureau TP-29 (1958), curvas area-duracion
200;12;0.92;US Weather Bureau TP-29 (1958), curvas area-duracion
200;24;0.94;US Weather Bureau TP-29 (1958), curvas area-duracion
400;0.5;0.66;US Weather Bureau TP-29 (1958), curvas area-duracion
400;1;0.73;US Weather Bureau TP-29 (1958), curvas area-duracion
400;3;0.83;US Weather Bureau TP-29 (1958), curvas area-duracion
400;6;0.86;US Weather Bureau TP-29 (1958), curvas area-duracion
400;12;0.90;US Weather Bureau TP-29 (1958), curvas area-duracion
400;24;0.92;US Weather Bureau TP-29 (1958), curvas area-duracion
800;0.5;0.59;US Weather Bureau TP-29 (1958), curvas area-duracion
800;1;0.68;US Weather Bureau TP-29 (1958), curvas area-duracion
800;3;0.79;US Weather Bureau TP-29 (1958), curvas area-duracion
800;6;0.83;US Weather Bureau TP-29 (1958), curvas area-duracion
800;12;0.88;US Weather Bureau TP-29 (1958), curvas area-duracion
800;24;0.90;US Weather Bureau TP-29 (1958), curvas area-duracion
