cuartil;probabilidad_pct;tiempo_pct;precipitacion_pct;origen;validado
2;50;0;0;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;10;8;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;20;21;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;30;39;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;40;62;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;50;74;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;60;82;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;70;87;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;80;91;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;90;96;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
2;50;100;100;Huff (1967), curvas de distribucion temporal para tormentas fuertes, reproducidas en Viessman et al., Introduction to Hydrology (2000);no
