formula;nombre;area_min_km2;area_max_km2;pendiente_min;pendiente_max;tipo_cuenca;origen;expresion;observacion
kirpich;Kirpich (1940);0.004;0.45;0.03;0.10;rural;"Tennessee, EEUU";0.0195*(L^0.77)*(S^-0.385) con L en m y S en m/m;"Calibrada en siete cuencas agricolas de 0,4 a 45 ha. Su uso fuera de ese rango es la extrapolacion mas frecuente y menos justificada de la practica."
california;California Culverts Practice (SCS-Ranser);0.004;45.0;0.05;0.50;montanosa;EEUU;0.0195*(L^3/H)^0.385 con L en m y H en m;"Variante de Kirpich para cauces de montana. Adaptada del Bureau of Public Roads."
temez;Temez (1978);1.0;3000.0;0.001;0.30;mixta;Espana;0.3*(L/(S^0.25))^0.76 con L en km y S en m/m;"Adoptada por la Instruccion espanola de drenaje. Es la de rango de area mas amplio de la matriz."
giandotti;Giandotti (1934);20.0;1000.0;0.01;0.30;mixta;Italia;(4*sqrt(A)+1.5*L)/(0.8*sqrt(Hm)) con A en km2, L en km, Hm en m;"Exige desnivel medio respecto a la cota de salida, no desnivel total."
ventura;Ventura-Heras;1.0;1000.0;0.005;0.30;rural;Italia;0.05*sqrt(A/S) con A en km2 y S en m/m;"Forma simplificada; sensible a la pendiente adoptada."
passini;Passini;1.0;1000.0;0.005;0.30;rural;Italia;0.108*((A*L)^(1/3))/sqrt(S) con A en km2, L en km;"Introduce el area y la longitud a la vez."
bransby;Bransby Williams;0.01;130.0;0.005;0.20;rural;Reino Unido;0.2433*L/((A^0.1)*(S^0.2)) con L en km, A en km2;"Desarrollada para cuencas rurales britanicas."
johnstone;Johnstone y Cross (1949);65.0;4200.0;0.001;0.05;llana;"Valle del Scioto, EEUU";0.4623*(L^0.5)*(S^-0.25) con L en km y S en m/m;"La unica de la matriz calibrada en cuencas grandes y de baja pendiente."
scs_lag;SCS Lag (NRCS);0.0;8.0;0.005;0.30;rural;EEUU;"Tc = Tlag/0.6, con Tlag = (L^0.8*(S+1)^0.7)/(1900*Y^0.5)";"Definida para cuencas menores de 800 ha (8 km2). Es la coherente con el metodo SCS de transformacion."
clark;Clark;0.5;300.0;0.005;0.30;mixta;Australia;0.335*(A/sqrt(S))^0.593 con A en km2;"Calibrada en cuencas australianas."
pilgrim;Pilgrim y McDermott;0.5;250.0;0.005;0.30;rural;Australia;0.76*A^0.38 con A en km2;"Solo depende del area; util como contraste, no como valor adoptado."
valencia;Valencia y Zuluaga;0.05;20.0;0.01;0.50;montanosa;Colombia;1.7694*(A^0.325)*(L^-0.096)*(S^-0.290) con A en km2, L en km;"Calibrada en cuencas de la cordillera colombiana."
v_te_chow;V. T. Chow;0.01;25.0;0.005;0.30;mixta;EEUU;0.1602*(L/sqrt(S))^0.64 con L en km y S en m/m;"Amplia difusion en la practica latinoamericana."
